Fecha de la op.,Wallet Comprador,Inmueble,Nº Tokens,Total Pago €,Wallet Vendedor,Hash Transacción de los tokens
02/07/2025,inv_46967523,NPL-1,"2,794,452,286","2.370,59€",inv_14e385da,
02/07/2025,inv_46967523,DXB-1,"5,309,970,937","4.504,56€",inv_3bc6c8fa,
02/07/2025,inv_46967523,DXB-1,"5,016,989,748","4.256,01€",inv_b962944c,
03/07/2025,inv_be24eee0,BKL-1,"1,649,477",,inv_46967523,
03/07/2025,inv_be24eee0,BKL-2,"180,038,567",,inv_46967523,
03/07/2025,inv_be24eee0,PAZ-1,"1,326,724,162",,inv_46967523,
03/07/2025,inv_46967523,BPT-1,"1,159,958","9.871,88€",inv_a7ac98a6,
04/07/2025,inv_804bcf69,BPT-1,"1,159,958","9.999,64€",inv_46967523,
04/07/2025,inv_eea5f089,GRX-3,"6,531,040,459",,inv_46967523,
04/07/2025,inv_9581f40e,VLC-12,"3,425,347,933",,inv_46967523,
04/07/2025,inv_8f14b345,DXB-1,"2,232,696,069",,inv_46967523,
07/07/2025,inv_d1e999d9,BKL-1,"1,604,999,598","1.367,41€",inv_46967523,
08/07/2025,inv_46967523,BPT-1,"294,82","25.198,29€",inv_a7ac98a6,
08/07/2025,inv_7ec6248c,BPT-1,"294,82","25.198,29€",inv_46967523,
14/07/2025,inv_10605d8d,CLMV-1,10,"1.000,00€",inv_3db5e783,
14/07/2025,inv_10605d8d,VLC-6,"62,567,552","62,57€",inv_3db5e783,
14/07/2025,inv_10605d8d,VLC-7,"1,022,667,721","1.022,67€",inv_3db5e783,
14/07/2025,inv_10605d8d,JAX-3,"34,295","2.914,75€",inv_46967523,
21/07/2025,inv_3a29ffa9,GRX-3,100,"10.000,00€",inv_c6270cc0,
21/07/2025,inv_3a29ffa9,SMA-2,50,"4.273,50€",inv_46967523,
21/07/2025,inv_3a29ffa9,SLA-2,50,"4.273,50€",inv_c6270cc0,
21/07/2025,inv_3a29ffa9,SLA-2,"420,227,973","359,17€",inv_46967523,
23/07/2025,inv_867c0b8c,MLG-3,20,"2.000,00€",inv_3db5e783,
23/07/2025,inv_867c0b8c,SHL-1,20,"2.000,00€",inv_3db5e783,
23/07/2025,inv_a9603d7a,DBX-1,250,"21.349,27€",inv_c6270cc0,
23/07/2025,inv_46967523,CDS-1,150,"17.550,00€",inv_13689dc6,
28/07/2025,inv_46967523,BPT-1,12,"1.034,48€",inv_a7ac98a6,
29/07/2025,inv_0b03d2e0,BPT-1,12,"1.034,48€",inv_46967523,
29/07/2025,inv_30830714,CLVM-1,"7,976,673","7.976,67€",inv_3db5e783,
29/07/2025,inv_30830714,MLG-3,"4,624,013","4.624,01€",inv_3db5e783,
30/07/2025,inv_549dce94,MLG-4,10,"1.000,00€",inv_3db5e783,
30/07/2025,inv_549dce94,CDP-3,"173,755","1.737,55€",inv_3db5e783,
30/07/2025,inv_549dce94,JAX-3,"15,705","1.359,74€",inv_46967523,
30/07/2025,inv_549dce94,HOU-2,"51,465","445,58€",inv_46967523,
30/07/2025,inv_549dce94,HOU-2,21,"1.818,18€",inv_c6270cc0,
30/07/2025,inv_549dce94,ATL-1,"420,298","3.638,94€",inv_46967523,
30/07/2025,inv_46967523,BPT-1,"1,360,842","11.731,40€",inv_a7ac98a6,
30/07/2025,inv_5e296693,BPT-1,"1,360,842","11.731,40€",inv_46967523,
31/07/2025,inv_3db5e783,MLG-6,"2,64","264,00€",inv_be24eee0,
31/07/2025,inv_af56e1e6,MLG-6,"141,537,164","1.415,37€",inv_3db5e783,
31/07/2025,inv_3db5e783,MLG-1,"180,582","180,58€",inv_b96f21af,
04/08/2025,inv_46967523,IDX-1,"1,727,700,109","1.727,70€",inv_14e385da,
04/08/2025,inv_9581f40e,VLC-12,"3,497,953,197",,inv_3db5e783,
08/08/2025,inv_46967523,VLC-12,30,"3.000,00€",inv_0954bf2d,
08/08/2025,inv_46967523,DNB-1,"1,247,886,984","10.757,65€",inv_b40f7d1a,
14/08/2025,inv_46967523,MIA-1,3,"257,64€",inv_f9b60155,
14/08/2025,inv_46967523,SMA-2,"1,303,227,135","1.119,23€",inv_f9b60155,
18/08/2025,inv_3db5e783,MAD-2,"2,243,786,256","2.243,79€",inv_77adf1bd,
21/08/2025,inv_3db5e783,DNB-1,"4,999,993,881",,inv_7dddd915,
28/08/2025,inv_c58f5df4,NPL-1,269,"23.177,67€",inv_c6270cc0,
28/08/2025,inv_c58f5df4,NPL-1,"2,794,452,286","2.407,77€",inv_46967523,
28/08/2025,inv_46967523,SLA-2,"40,83","3.643,58€",inv_be24eee0,
28/08/2025,inv_60dcb8f6,SLA-2,"40,83","3.643,58€",inv_46967523,
28/08/2025,inv_60dcb8f6,GRX-3,100,"10.000,00€",inv_c6270cc0,
28/08/2025,inv_60dcb8f6,VLC-12,30,"3.000,00€",inv_46967523,
02/08/2025,inv_27e145e9,CLVM-2,"69,744,403","697,44€",inv_3db5e783,
02/08/2025,inv_27e145e9,ATL-1,"121,422","1.049,09€",inv_46967523,
02/08/2025,inv_27e145e9,IDX-1,"5,373,230,765","4.642,50€",inv_46967523,
02/08/20025,inv_27e145e9,GRX-3,20,"2.000,00€",inv_c6270cc0,
02/08/2025,inv_46967523,DNB-1,"4,999,993,881",,inv_3db5e783,
04/08/2025,inv_46967523,RDO-3,"554,282,581","514,45€",inv_ecc83925,
04/08/2025,inv_46967523,RDO-5,"54,068","497,23€",inv_ecc83925,
04/08/2025,inv_46967523,BPT-1,"1,756,067,377","1.569,66€",inv_ecc83925,
04/08/2025,inv_46967523,CDS-1,50,"5.969,00€",inv_ecc83925,
04/08/2025,inv_46967523,YCT-1,"43,268","3.830,34€",inv_ecc83925,
04/08/2025,inv_3db5e783,TLM-2,"2,5","250,00€",inv_ecc83925,
10/09/2025,inv_46967523,PRO-100,"2,242,235,457","1.916,44€",inv_14e385da,
15/09/2025,inv_46967523,PRO-100,"353,737","2.997,77€",inv_be24eee0,
18/09/2025,inv_46967523,PRO-100,"7,124,975,793","60.222,94€",inv_5a4e94a6,
22/09/2025,inv_092b5098,GRX-3,10,"1.000,00€",inv_c6270cc0,
22/09/2025,inv_220d2b35,DNB-1,50,"4.273,50€",inv_46967523,
22/09/2025,inv_bc442ad3,DNB-1,25,"2.120,62€",inv_46967523,
22/09/2025,inv_bc442ad3,DBX-1,3,"254,47€",inv_c6270cc0,
22/09/2025,inv_bc442ad3,GRX-3,"1,866,141,836","1.866,14€",inv_c6270cc0,
22/09/2025,inv_fc7feb34,DBX-1,"30,73","2.606,67€",inv_c6270cc0,
22/09/2025,inv_fc7feb34,GRX-3,"39,333","393,33€",inv_c6270cc0,
22/09/2025,inv_7857adf9,DNB-1,"11,789","1.000,00€",inv_46967523,
22/09/2025,inv_e1fc25e0,DNB-1,"23,578","2.000,00€",inv_46967523,
22/09/2025,inv_e1fc25e0,GRX-3,20,"2.000,00€",inv_c6270cc0,
22/09/2025,inv_77adf517,DNB-1,"11,745","1.000,00€",inv_46967523,
22/09/2025,inv_77adf517,GRX-3,10,"1.000,00€",inv_c6270cc0,
23/09/2025,inv_46967523,HOU-3,"117,618","1.001,00€",inv_322ed70b,
23/09/2025,inv_840bdb5c,HOU-3,"117,618","1.001,00€",inv_46967523,
23/09/2025,inv_46967523,CDS-1,81,"9.720,00€",inv_190c7331,
23/09/2025,inv_46967523,CDS-1,1,"120,00€",inv_190c7331,
24/09/2025,inv_46967523,CDS-1,"1,115,663,505","13.387,96€",inv_190c7331,
24/09/2025,inv_46967523,CDS-1,500,"60.000,00€",inv_f59ac820,
26/09/2025,inv_60dcb8f6,GRX-3,"1,435,413,638","1.435,41€",inv_3db5e783,
26/09/2025,inv_60dcb8f6,GRX-3,"564,586,362","564,59€",inv_c6270cc0,
02/10/2025,inv_ecd75676,HOU-3,100,"8.521,45€",inv_46967523,
02/10/2025,inv_ecd75676,ATL-1,100,"8.521,45€",inv_46967523,
02/10/2025,inv_ecd75676,BPT-1,"1,756,067,376","1.496,42€",inv_46967523,
02/10/2025,inv_ecd75676,GRX-3,"2,175,941,802","2.175,94€",inv_c6270cc0,
02/10/2025,inv_ecd75676,PRO-100,"343,659","29.284,73€",inv_46967523,
07/10/2025,inv_38f5d3d9,PRO-100,"9,839","84,09€",inv_46967523,
07/10/2025,inv_38f5d3d9,PRO-100,"999,915","85,46€",inv_46967523,
08/10/2025,inv_9c382434,IDX-1,200,"17.094,02€",inv_46967523,
10/10/2025,inv_38f5d3d9,PRO-100,"999,982","8.620,53€",inv_46967523,
10/10/2025,inv_14e385da,PRO-100,"232,162","20.013,97€",inv_46967523,
15/10/2025,inv_322ed70b,YCT-1,"43,268","3.841,90€",inv_46967523,
27/10/2025,inv_46967523,JAX-1,"23,27","2.059,65€",inv_00353004,
27/10/2025,inv_46967523,JAX-2,"23,27","2.059,65€",inv_00353004,
27/10/2025,inv_46967523,JAX-3,"219,564","1.943,38€",inv_00353004,
27/10/2025,inv_bc442ad3,DNB-1,"628,386,007","539,99€",inv_c6270cc0,
27/10/2025,inv_bc442ad3,DNB-1,"121,613,993","104,51€",inv_46967523,
27/10/2025,inv_bc442ad3,GRX-2,"149,105,476","1.491,05€",inv_c6270cc0,
27/10/2025,inv_bc442ad3,GRX-2,"46,025,202","460,25€",inv_3db5e783,
27/10/2025,inv_bc442ad3,JAX-3,"219,564","1.886,77€",inv_46967523,
27/10/2025,inv_bc442ad3,RDO-3,"554,283","514,42€",inv_46967523,
27/10/2025,inv_49f8251b,GRX-3,10,"1.000,00€",inv_46967523,
27/10/2025,inv_e1fc25e0,JAX-1,"23,27","1.999,66€",inv_c6270cc0,
27/10/2025,inv_46967523,SAL-2,50,"4.296,64€",inv_ebacd7d1,
27/10/2025,inv_190c7331,SAL-2,50,"4.296,64€",inv_46967523,
27/10/2025,inv_fb2d095b,YCT-2,"108,429","9.310,41€",inv_c6270cc0,
29/10/2025,inv_3db5e783,CDS-1,100,"11.000,00€",inv_94c99fde,
29/10/2025,inv_ac30f782,CDS-1,100,"11.000,00€",inv_3db5e783,
30/10/2025,inv_d1e999d9,YCT-1,"371,451,967","3.202,17€",inv_c6270cc0,
30/10/2025,inv_d1e999d9,PRO-100,"500,048,033","4.310,76€",inv_46967523,
30/10/2025,inv_867c0b8c,YCT-2,30,"2.587,77€",inv_c6270cc0,
30/10/2025,inv_46967523,HOU-2,200,"17.241,38€",inv_b962944c,
30/10/2025,inv_46967523,DXB-1,"2,701,257,556","2.417,16€",inv_5d4d8114,
30/10/2025,inv_20de698c,DXB-1,"2,298,742,444","2.021,31€",inv_c6270cc0,
30/10/2025,inv_5d4d8114,PRO-100,"2,803,905,343","2.417,16€",inv_46967523,
30/10/2025,inv_46967523,DXB-1,"2,298,742,444","2.056,98€",inv_5d4d8114,
30/10/2025,inv_39a9a9ad,HOU-2,200,"17.205,04€",inv_46967523,
30/10/2025,inv_39a9a9ad,BKL-3,"5,432,604,744","4.673,41€",inv_c6270cc0,
30/10/2025,inv_39a9a9ad,DXB-1,50,"4.451,80€",inv_46967523,
30/10/2025,inv_5d4d8114,PRO-100,"1,444,680,593","1.245,41€",inv_46967523,
01/11/2025,inv_79300cfb,YCT-1,50,"4.304,78€",inv_c6270cc0,
