hash,token_address,tokens,vendedor,comprador,simbolo
0xe6e56011ae215a04dcc503ecf563236e5fa878e6489660ddee599cba9c04261e,0x29fdc3434576e188e8131b2ad9cf94d3b3e71f56,1.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-8
0xda5f8baa2171c95f6c055295cd2adbe4afbb8960f1e349f41e56206466a7c4cc,0xe56ff2dff2c2e95511f0bef4b3d92da05e8197c0,1.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-HOU-2
0x3cf62183d4e4ee0bb8ed4e7d14ceccb4e08d354d939e55879fa3c466e96fc3d3,0xa0d99b441a9a5e334b234f31a92b97fa8d663626,10.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xf459185178c49adc9e16bb23f3e78e1a8c7ea190,Reental-YCT-2
0x71a99bf80cca2c3e2243a6008a10c283caa930db281c1700cdd716ee07e7863e,0xe56ff2dff2c2e95511f0bef4b3d92da05e8197c0,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-HOU-2
0xdcfa7fafd65257bb1d194edbcb23a6cefb47764e729323d78f03470918358cc5,0xcc4c1ce8d335bd40a0acf17b9ab08c030cc299aa,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-PRO-100
0x044497c1c14adc2608cf07b699261d88eafced4e2a61eaa753a1ccf121d4b9c2,0xcc4c1ce8d335bd40a0acf17b9ab08c030cc299aa,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-PRO-100
0x3e188d588e2ae52d32cb027ca9442b5d2b78e307887913f8cd539c63ce7a75db,0xf8657256c5cd5fdb044e55d1ec39e9b8c969dbf1,10.0,0xeb3b721abc9b9a2f323fbeef666934481266714e,0xce89063272ecce1cda2086670ff94cbc690b8f5f,Reental-PAZ-1
0xb2e83acf53bcc081e6a02a05a0ceb5c757a0447c3525393e39e485efdc0f5cde,0xcc4c1ce8d335bd40a0acf17b9ab08c030cc299aa,5.0022395,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-PRO-100
0xbea84c956377fc0f9f13c8c0f24cd8ae9dea9070ea60c4829ffd397f3d3143cf,0xcc4c1ce8d335bd40a0acf17b9ab08c030cc299aa,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-PRO-100
0xe96d4bb47820d9d7f186a2e1210baaa47d652989a66493af2a897e7158f4bb27,0xe59dde10d38df397c996bdb1325b6f81684a8b80,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xe2c864f2e2681f0803a5b0f45012f608abc9ea22,Reental-DXB-1
0x22c6e6590e4a0adc5af3ed33fdb7dbba8214dc8a3d7757952b08b14013463a91,0xcc4c1ce8d335bd40a0acf17b9ab08c030cc299aa,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xd3d40870c53c407880605631f14d473eb7c6a6f5,Reental-PRO-100
0x3e9a2d90892a6263a0da53a9982232c9b77e7c62b0793a07bdb027580d714bd7,0xe59dde10d38df397c996bdb1325b6f81684a8b80,5.0,0xce89063272ecce1cda2086670ff94cbc690b8f5f,0xf459185178c49adc9e16bb23f3e78e1a8c7ea190,Reental-DXB-1
0x6c112ea86278d5423c0e65e790292096bce81d78a14ce7acdc8343a31c8cd898,0xed923b814f1ea3d42c54dda55ba8edfaba994489,1.0,0xc12a1f7e3cb180c0a64a9635ba76dcb965fc0702,0xce89063272ecce1cda2086670ff94cbc690b8f5f,Reental-BKL-2
0x8a88be2038dab2d4724e76c6660ee540b03164a6b88f45c0b5ec785d37866e5b,0xb0825e7a4093d21ed076883f8aca33300631291e,10.05511774,0xd7c29b7bdff2e120af60efbbdd420b576abd3a72,0xce89063272ecce1cda2086670ff94cbc690b8f5f,Reental-MIA-3
0x96f229d73cee45dd2d0f3339896f9052e69a7175deee0d51a5689637bd8206e0,0xa0d99b441a9a5e334b234f31a92b97fa8d663626,1.0,0xbb5c220d202fd05c696ed73c18e9db175e7a7a5a,0xce89063272ecce1cda2086670ff94cbc690b8f5f,Reental-YCT-2
0x2650d4da79fdbc8aee1f14482c8e569dc9affa917429d1e2e60f67ad4de0bbca,0x2a8bbc241849431e9cc7c4dbea9c05dfac2de553,5.0,0x20602705fc763d5046911544f1711131e8b50590,0xce89063272ecce1cda2086670ff94cbc690b8f5f,Reental-GRX-3
0xc5ff6ccaf403f18f173d695ba550f4aad66ba0f8691eb340431e98374c35b69f,0x754f5b74e2639cef67fecec03f4d698470bdc92f,2.0,0xf9c3fa98e7c685ff7964b7a297a7a22cb88eef19,0xd0b165e7f49dc15b36ed8cbb60292df383cc78a1,Reental-ABD-1
0xc2ecef05d87c59b700dcb6e5bb6cfb9a5345b4b2a37bf42d175698d57ca08783,0x2f1026ff5bd94232050364c81d61a2d15e147209,10.06258763,0x9882c1eab4f93473171cbc3571a36ab7e88a3aef,0xd0b165e7f49dc15b36ed8cbb60292df383cc78a1,Reental-MIA-1
0x01b6bbe99f0e8aaa2ee8f76b711302fab387e917b6664e34ea75a67620681e4d,0x243e4bacc4b4d61b87816c945544286eb29125c6,5.0,0xd0b165e7f49dc15b36ed8cbb60292df383cc78a1,0xf9c3fa98e7c685ff7964b7a297a7a22cb88eef19,Reental-CME-1
0x9adefd38167760ff7d14c5957a22c0ea41b7f0b4347ff4459b32f45376c5b2d8,0x2f1026ff5bd94232050364c81d61a2d15e147209,0.45356144,0xd0b165e7f49dc15b36ed8cbb60292df383cc78a1,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MIA-1
0xaf7856413fa4ba9e6353c30acefce98d3b30dd45afd5e8fbb04d3544db55765b,0x754f5b74e2639cef67fecec03f4d698470bdc92f,1.0,0xd0b165e7f49dc15b36ed8cbb60292df383cc78a1,0xf9c3fa98e7c685ff7964b7a297a7a22cb88eef19,Reental-ABD-1
0x9ada57e14087b7daf8bb1b20b39373f46d0270d33280c76692f89dfce69f4a29,0xfc5e219788a953ad8e71c3b7cb9484695e7f028e,0.484,0xd0b6a9b34097a7a6c3c42540e5a33244dbc9b0a8,0xd3b47625f4339c998894848b93d306124a638eda,Reental-SVQ-6
0xc5a4d67d3080d0e717479155ebee940929930512c5596a224685ab1ff095261d,0xf1ec7e14489683babdb9299e5f9908d19a8759dc,1.00378783,0x67f41ceabfd6f47f3c826860bc9f582f86f9f609,0xd13095bf02db2513addc2c76a31f60fce49416d7,Reental-MIA-2
0x2b5fafa87a6079520153aaf26b9c5ccb5549d20db4b1fd4d0dd412a6a73ee72b,0x2f1026ff5bd94232050364c81d61a2d15e147209,1.48540937,0xd8bf40febaadb4c1d5e336d064512bd9182786ea,0xd1aa7e73c79d7faade965ecca298b3a88d9abaea,Reental-MIA-1
